,...1,...2,...3
1,1,0,0
2,0,1,0
3,1,0,1
4,1,0,1
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
9,1,1,0
10,1,1,0
11,1,0,0
12,0,1,0
13,1,0,1
14,0,1,1
15,0,0,1
16,1,0,1
17,0,0,1
18,0,1,0
19,1,0,0
