"";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q25";"q26";"q27";"q28";"q29";"q30";"q31"
"sub00057";0,79;0,57;0,001;0,65;0,66;0,66;0,69;0,37;0,65;0,4;0,13;0,17;0,14;0,001;0,999;0,05;0,13
"sub00001";0,001;0,63;0,999;0,001;0,001;0,001;0,73;0,35;0,999;0,52;0,5;0,45;0,001;0,001;0,001;0,999;0,999
"sub01329";0,39;0,08;0,001;0,13;0,59;0,67;0,73;0,74;0,73;0,52;0,19;0,63;0,5;0,53;0,64;0,22;0,13
"sub01519";0,28;0,12;0,38;0,87;0,001;0,27;0,42;0,42;0,96;0,35;0,19;0,18;0,001;0,64;0,999;0,001;0,95
"sub00090";0,28;0,5;0,51;0,71;0,32;0,4;0,78;0,9;0,11;0,51;0,11;0,92;0,49;0,64;0,82;0,999;0,999
"sub01186";0,06;0,63;0,72;0,61;0,39;0,15;0,36;0,42;0,65;0,82;0,83;0,26;0,06;0,24;0,001;0,001;0,09
"sub01119";0,2;0,09;0,18;0,53;0,999;0,65;0,59;0,52;0,83;0,57;0,001;0,55;0,001;0,001;0,001;0,001;0,001
"sub00841";0,41;0,85;0,66;0,15;0,86;0,65;0,999;0,999;0,77;0,65;0,25;0,64;0,08;0,06;0,77;0,59;0,71
"sub00453";0,58;0,6;0,62;0,68;0,65;0,62;0,8;0,7;0,75;0,8;0,51;0,61;0,91;0,88;0,79;0,54;0,68
"sub00994";0,71;0,23;0,98;0,75;0,98;0,77;0,89;0,85;0,999;0,67;0,12;0,92;0,001;0,5;0,07;0,89;0,999
"sub01367";0,19;0,5;0,19;0,63;0,21;0,21;0,48;0,49;0,21;0,5;0,11;0,25;0,8;0,89;0,88;0,91;0,97
"sub01510";0,34;0,22;0,01;0,16;0,23;0,31;0,51;0,53;0,81;0,22;0,2;0,69;0,97;0,87;0,999;0,999;0,5
"sub00668";0,38;0,63;0,37;0,63;0,78;0,59;0,6;0,66;0,84;0,73;0,001;0,01;0,35;0,66;0,54;0,44;0,64
"sub00255";0,58;0,34;0,999;0,79;0,63;0,55;0,59;0,6;0,59;0,7;0,29;0,27;0,001;0,54;0,44;0,73;0,71
"sub01492";0,26;0,38;0,35;0,69;0,32;0,28;0,24;0,22;0,68;0,62;0,13;0,71;0,51;0,66;0,74;0,65;0,67
"sub01286";0,31;0,46;0,08;0,24;0,04;0,35;0,48;0,58;0,18;0,16;0,65;0,45;0,7;0,71;0,69;0,29;0,75
"sub01340";0,2;0,19;0,51;0,07;0,17;0,17;0,16;0,14;0,5;0,14;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub00643";0,67;0,54;0,2;0,62;0,53;0,66;0,79;0,62;0,73;0,69;0,18;0,999;0,98;0,35;0,83;0,78;0,73
