"";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q25";"q26";"q27";"q28";"q29";"q30";"q31"
"sub00819";0,01;0,25;0,98;0,86;0,11;0,1;0,32;0,29;0,06;0,72;0,06;0,001;0,01;0,001;0,001;0,001;0,001
"sub00352";0,42;0,64;0,62;0,76;0,68;0,52;0,5;0,52;0,5;0,36;0,13;0,52;0,001;0,001;0,95;0,5;0,001
"sub01245";0,49;0,999;0,001;0,001;0,5;0,51;0,999;0,999;0,999;0,001;0,001;0,001;0,001;0,52;0,47;0,001;0,52
"sub00699";0,61;0,22;0,03;0,75;0,51;0,57;0,59;0,61;0,82;0,37;0,08;0,61;0,97;0,63;0,999;0,92;0,95
"sub00290";0,77;0,67;0,86;0,86;0,73;0,78;0,79;0,82;0,77;0,79;0,55;0,65;0,74;0,68;0,96;0,87;0,999
"sub00561";0,57;0,34;0,3;0,76;0,96;0,68;0,71;0,7;0,94;0,73;0,14;0,43;0,6;0,73;0,97;0,85;0,72
"sub00083";0,02;0,05;0,89;0,97;0,54;0,6;0,6;0,62;0,75;0,52;0,3;0,2;0,19;0,6;0,71;0,1;0,13
"sub00355";0,83;0,03;0,83;0,8;0,73;0,72;0,75;0,69;0,76;0,64;0,01;0,93;0,85;0,89;0,97;0,999;0,999
"sub00685";0,001;0,36;0,67;0,55;0,51;0,35;0,48;0,49;0,5;0,56;0,53;0,54;0,19;0,28;0,61;0,001;0,31
"sub00170";0,05;0,98;0,02;0,78;0,34;0,56;0,59;0,52;0,19;0,31;0,01;0,04;0,001;0,001;0,8;0,04;0,999
"sub01083";0,29;0,24;0,91;0,87;0,82;0,86;0,999;0,999;0,2;0,75;0,23;0,11;0,8;0,8;0,76;0,22;0,23
"sub00620";0,58;0,76;0,29;0,68;0,74;0,75;0,6;0,67;0,999;0,999;0,001;0,999;0,999;0,999;0,999;0,76;0,999
"sub00006";0,48;0,48;0,999;0,76;0,48;0,71;0,999;0,999;0,72;0,73;0,001;0,65;0,66;0,64;0,999;0,999;0,64
"sub00903";0,7;0,31;0,49;0,83;0,75;0,92;0,68;0,61;0,64;0,5;0,29;0,41;0,78;0,65;0,77;0,5;0,51
"sub01068";0,48;0,19;0,33;0,66;0,7;0,77;0,93;0,83;0,74;0,53;0,19;0,3;0,21;0,55;0,69;0,61;0,74
"sub00562";0,001;0,66;0,999;0,97;0,52;0,16;0,73;0,72;0,58;0,63;0,46;0,41;0,31;0,32;0,65;0,26;0,5
"sub00659";0,3;0,31;0,68;0,999;0,23;0,27;0,31;0,41;0,999;0,78;0,04;0,46;0,3;0,5;0,75;0,29;0,76
"sub00341";0,32;0,63;0,999;0,999;0,75;0,78;0,78;0,8;0,79;0,61;0,001;0,999;0,5;0,5;0,14;0,001;0,001
"sub01461";0,35;0,13;0,04;0,66;0,71;0,26;0,32;0,29;0,81;0,11;0,31;0,48;0,49;0,78;0,88;0,97;0,98
"sub01014";0,01;0,03;0,01;0,03;0,001;0,001;0,999;0,96;0,92;0,2;0,001;0,001;0,49;0,46;0,49;0,999;0,001
"sub01548";0,36;0,54;0,999;0,87;0,69;0,47;0,5;0,51;0,49;0,77;0,3;0,49;0,19;0,28;0,71;0,5;0,73
"sub00680";0,02;0,61;0,43;0,54;0,64;0,5;0,5;0,51;0,76;0,64;0,53;0,59;0,37;0,91;0,86;0,84;0,91
"sub01177";0,6;0,07;0,79;0,38;0,5;0,49;0,52;0,49;0,6;0,35;0,63;0,63;0,25;0,07;0,89;0,31;0,31
"sub00430";0,66;0,34;0,25;0,48;0,76;0,94;0,94;0,94;0,92;0,33;0,001;0,01;0,98;0,7;0,999;0,03;0,02
"sub01111";0,4;0,64;0,33;0,81;0,65;0,62;0,5;0,59;0,7;0,85;0,36;0,55;0,65;0,65;0,79;0,7;0,77
"sub00604";0,52;0,35;0,31;0,83;0,91;0,91;0,41;0,62;0,59;0,49;0,001;0,001;0,001;0,001;0,95;0,49;0,01
"sub00913";0,03;0,5;0,02;0,28;0,17;0,3;0,42;0,74;0,05;0,4;0,07;0,12;0,15;0,11;0,08;0,69;0,11
"sub00375";0,08;0,76;0,28;0,19;0,72;0,17;0,03;0,09;0,93;0,85;0,02;0,01;0,01;0,001;0,02;0,02;0,69
"sub01076";0,5;0,79;0,98;0,83;0,78;0,82;0,91;0,49;0,38;0,66;0,31;0,79;0,8;0,97;0,84;0,91;0,999
"sub00801";0,81;0,9;0,72;0,83;0,89;0,9;0,92;0,79;0,8;0,8;0,08;0,83;0,84;0,88;0,47;0,8;0,19
"sub00233";0,56;0,42;0,59;0,8;0,59;0,59;0,999;0,999;0,999;0,6;0,3;0,24;0,29;0,26;0,96;0,3;0,31
"sub00756";0,06;0,52;0,12;0,54;0,34;0,24;0,52;0,81;0,64;0,38;0,28;0,16;0,59;0,37;0,75;0,18;0,63
"sub00470";0,54;0,66;0,52;0,66;0,48;0,53;0,68;0,58;0,62;0,63;0,23;0,49;0,17;0,33;0,82;0,48;0,48
"sub00163";0,18;0,58;0,51;0,37;0,84;0,49;0,39;0,74;0,999;0,49;0,26;0,38;0,22;0,47;0,98;0,5;0,76
"sub00529";0,31;0,19;0,999;0,88;0,62;0,9;0,35;0,34;0,74;0,87;0,63;0,6;0,34;0,62;0,82;0,32;0,63
"sub01097";0,53;0,74;0,96;0,05;0,5;0,5;0,49;0,5;0,82;0,91;0,001;0,001;0,001;0,49;0,999;0,92;0,999
"sub00118";0,84;0,22;0,26;0,73;0,78;0,61;0,69;0,7;0,98;0,42;0,59;0,4;0,35;0,28;0,81;0,74;0,7
"sub00792";0,3;0,54;0,96;0,59;0,36;0,36;0,39;0,35;0,36;0,3;0,83;0,21;0,52;0,3;0,95;0,48;0,77
"sub01099";0,49;0,5;0,91;0,77;0,49;0,73;0,79;0,64;0,5;0,53;0,31;0,29;0,13;0,32;0,7;0,55;0,56
"sub00010";0,49;0,5;0,001;0,14;0,24;0,78;0,79;0,86;0,98;0,5;0,02;0,04;0,03;0,02;0,93;0,02;0,96
"sub00960";0,27;0,01;0,77;0,87;0,06;0,41;0,7;0,8;0,54;0,17;0,001;0,71;0,05;0,06;0,66;0,48;0,17
"sub01268";0,2;0,6;0,55;0,97;0,39;0,6;0,2;0,02;0,62;0,9;0,87;0,37;0,01;0,87;0,31;0,53;0,93
"sub00282";0,73;0,44;0,86;0,69;0,94;0,31;0,25;0,41;0,93;0,18;0,03;0,22;0,26;0,58;0,92;0,68;0,96
"sub00585";0,78;0,23;0,61;0,999;0,83;0,999;0,999;0,999;0,999;0,67;0,75;0,14;0,55;0,6;0,5;0,56;0,79
"sub01205";0,26;0,48;0,77;0,29;0,46;0,51;0,69;0,69;0,5;0,51;0,24;0,28;0,25;0,76;0,14;0,61;0,71
"sub01164";0,52;0,43;0,67;0,66;0,69;0,65;0,65;0,69;0,71;0,66;0,52;0,62;0,76;0,72;0,68;0,74;0,65
"sub00758";0,48;0,999;0,77;0,74;0,54;0,74;0,88;0,999;0,12;0,9;0,001;0,97;0,999;0,999;0,999;0,999;0,001
"sub01382";0,24;0,16;0,85;0,71;0,78;0,86;0,999;0,8;0,94;0,51;0,001;0,61;0,66;0,36;0,58;0,59;0,57
"sub01386";0,48;0,93;0,001;0,72;0,53;0,51;0,51;0,51;0,94;0,94;0,21;0,1;0,06;0,14;0,09;0,11;0,11
"sub00698";0,19;0,22;0,001;0,36;0,37;0,32;0,52;0,61;0,89;0,999;0,18;0,13;0,63;0,58;0,7;0,51;0,49
"sub00016";0,67;0,59;0,71;0,82;0,72;0,35;0,29;0,63;0,97;0,24;0,001;0,34;0,21;0,67;0,999;0,67;0,72
"sub00203";0,56;0,3;0,24;0,83;0,55;0,43;0,41;0,42;0,33;0,51;0,51;0,76;0,61;0,65;0,98;0,91;0,96
"sub00647";0,999;0,001;0,15;0,999;0,9;0,8;0,85;0,89;0,86;0,32;0,52;0,85;0,81;0,999;0,97;0,91;0,97
"sub00673";0,999;0,45;0,98;0,95;0,999;0,96;0,999;0,97;0,96;0,65;0,11;0,999;0,999;0,999;0,999;0,999;0,999
"sub00727";0,8;0,21;0,07;0,32;0,9;0,89;0,9;0,91;0,78;0,5;0,61;0,47;0,62;0,63;0,94;0,87;0,77
"sub01321";0,05;0,27;0,15;0,9;0,25;0,11;0,21;0,05;0,51;0,89;0,77;0,78;0,12;0,001;0,96;0,82;0,86
"sub00181";0,4;0,18;0,23;0,66;0,63;0,59;0,72;0,999;0,67;0,56;0,01;0,04;0,01;0,01;0,07;0,03;0,01
"sub01223";0,55;0,22;0,21;0,65;0,54;0,34;0,76;0,43;0,62;0,56;0,37;0,53;0,54;0,23;0,95;0,58;0,5
"sub01591";0,36;0,69;0,81;0,87;0,65;0,55;0,56;0,58;0,95;0,95;0,55;0,52;0,16;0,08;0,1;0,1;0,07
"sub00438";0,28;0,27;0,001;0,73;0,5;0,62;0,86;0,89;0,5;0,33;0,18;0,69;0,75;0,6;0,9;0,89;0,85
"sub00506";0,53;0,34;0,999;0,68;0,56;0,54;0,64;0,78;0,67;0,42;0,12;0,01;0,001;0,001;0,08;0,001;0,001
"sub00725";0,18;0,001;0,66;0,97;0,56;0,5;0,55;0,57;0,7;0,88;0,55;0,84;0,79;0,23;0,97;0,83;0,79
"sub01238";0,85;0,49;0,53;0,72;0,86;0,63;0,69;0,49;0,6;0,85;0,001;0,001;0,76;0,75;0,93;0,999;0,66
"sub01114";0,82;0,38;0,2;0,5;0,87;0,8;0,87;0,81;0,63;0,36;0,73;0,999;0,999;0,999;0,999;0,999;0,999
"sub00367";0,08;0,01;0,01;0,27;0,16;0,44;0,41;0,44;0,46;0,39;0,54;0,11;0,73;0,61;0,97;0,6;0,92
"sub00042";0,63;0,3;0,15;0,7;0,88;0,83;0,59;0,35;0,999;0,999;0,001;0,75;0,001;0,001;0,999;0,78;0,999
"sub00824";0,04;0,03;0,999;0,97;0,2;0,23;0,999;0,999;0,98;0,93;0,001;0,52;0,001;0,001;0,999;0,51;0,97
"sub01170";0,51;0,6;0,63;0,67;0,87;0,75;0,999;0,999;0,52;0,82;0,12;0,77;0,83;0,85;0,94;0,62;0,88
"sub01006";0,24;0,03;0,94;0,999;0,93;0,17;0,18;0,22;0,76;0,24;0,75;0,17;0,001;0,8;0,17;0,05;0,04
"sub00075";0,55;0,43;0,001;0,21;0,49;0,48;0,5;0,5;0,66;0,51;0,001;0,001;0,001;0,01;0,2;0,001;0,02
"sub01257";0,33;0,86;0,11;0,76;0,26;0,32;0,48;0,6;0,34;0,64;0,001;0,79;0,03;0,72;0,64;0,98;0,05
"sub00730";0,25;0,5;0,999;0,92;0,5;0,39;0,23;0,25;0,94;0,72;0,1;0,02;0,97;0,93;0,94;0,27;0,08
"sub00037";0,48;0,22;0,51;0,5;0,57;0,6;0,75;0,65;0,9;0,68;0,39;0,45;0,47;0,43;0,51;0,59;0,5
"sub00483";0,74;0,08;0,04;0,36;0,81;0,75;0,76;0,76;0,71;0,22;0,001;0,35;0,58;0,63;0,66;0,57;0,37
"sub01249";0,91;0,96;0,83;0,88;0,97;0,69;0,97;0,94;0,88;0,91;0,03;0,49;0,999;0,999;0,999;0,86;0,88
"sub01554";0,48;0,75;0,23;0,69;0,49;0,15;0,15;0,55;0,81;0,49;0,001;0,28;0,73;0,18;0,77;0,76;0,999
"sub01069";0,11;0,53;0,35;0,73;0,28;0,29;0,8;0,47;0,85;0,69;0,06;0,98;0,11;0,09;0,3;0,1;0,62
"sub00124";0,28;0,44;0,36;0,68;0,61;0,39;0,64;0,66;0,88;0,49;0,21;0,32;0,65;0,47;0,89;0,49;0,51
"sub00937";0,36;0,5;0,15;0,44;0,36;0,5;0,92;0,74;0,25;0,94;0,19;0,999;0,3;0,6;0,87;0,999;0,999
"sub00969";0,1;0,49;0,04;0,66;0,24;0,31;0,51;0,53;0,01;0,54;0,15;0,01;0,04;0,03;0,48;0,01;0,05
"sub01098";0,49;0,57;0,34;0,61;0,72;0,59;0,73;0,68;0,7;0,62;0,34;0,64;0,64;0,69;0,7;0,7;0,53
"sub01526";0,68;0,24;0,83;0,64;0,72;0,32;0,999;0,999;0,999;0,71;0,29;0,41;0,58;0,61;0,88;0,96;0,92
"sub01476";0,001;0,001;0,999;0,999;0,999;0,001;0,03;0,03;0,51;0,5;0,03;0,07;0,24;0,14;0,999;0,999;0,93
"sub00213";0,17;0,77;0,999;0,82;0,29;0,49;0,85;0,69;0,3;0,62;0,65;0,15;0,7;0,25;0,52;0,51;0,5
"sub00497";0,42;0,33;0,5;0,5;0,36;0,5;0,61;0,72;0,5;0,5;0,15;0,19;0,32;0,17;0,32;0,24;0,18
"sub00444";0,72;0,6;0,34;0,68;0,36;0,48;0,69;0,87;0,51;0,27;0,3;0,6;0,71;0,64;0,66;0,72;0,85
"sub00246";0,86;0,9;0,999;0,95;0,92;0,96;0,999;0,89;0,72;0,83;0,001;0,29;0,34;0,41;0,85;0,69;0,66
"sub00759";0,56;0,34;0,41;0,59;0,67;0,61;0,71;0,999;0,53;0,44;0,001;0,001;0,001;0,001;0,06;0,001;0,001
"sub00153";0,68;0,56;0,28;0,72;0,9;0,76;0,73;0,72;0,92;0,85;0,001;0,22;0,001;0,1;0,16;0,59;0,59
"sub00704";0,22;0,72;0,46;0,66;0,34;0,58;0,95;0,46;0,4;0,65;0,66;0,38;0,2;0,08;0,94;0,7;0,65
"sub00212";0,16;0,25;0,73;0,8;0,07;0,23;0,999;0,73;0,3;0,06;0,18;0,21;0,2;0,25;0,68;0,14;0,76
"sub01289";0,42;0,73;0,999;0,999;0,75;0,75;0,88;0,94;0,73;0,88;0,56;0,001;0,51;0,78;0,97;0,001;0,2
"sub01154";0,29;0,27;0,12;0,67;0,47;0,24;0,26;0,11;0,71;0,71;0,12;0,52;0,64;0,44;0,88;0,999;0,36
"sub01378";0,83;0,77;0,89;0,92;0,65;0,52;0,58;0,76;0,78;0,55;0,3;0,65;0,94;0,95;0,999;0,63;0,92
"sub00689";0,34;0,64;0,55;0,44;0,46;0,35;0,32;0,33;0,77;0,36;0,001;0,001;0,001;0,001;0,66;0,001;0,41
"sub01003";0,93;0,52;0,1;0,66;0,999;0,97;0,83;0,9;0,76;0,72;0,51;0,71;0,46;0,64;0,76;0,97;0,01
"sub01203";0,4;0,21;0,001;0,63;0,5;0,62;0,72;0,69;0,72;0,4;0,01;0,92;0,22;0,97;0,95;0,65;0,51
"sub01482";0,49;0,999;0,68;0,999;0,59;0,57;0,85;0,86;0,84;0,999;0,001;0,18;0,69;0,51;0,999;0,51;0,999
"sub00678";0,5;0,3;0,66;0,5;0,6;0,71;0,999;0,999;0,4;0,65;0,35;0,56;0,59;0,44;0,73;0,68;0,62
"sub01521";0,73;0,67;0,87;0,86;0,86;0,78;0,97;0,78;0,83;0,68;0,14;0,81;0,28;0,61;0,76;0,57;0,4
"sub00914";0,36;0,49;0,999;0,999;0,57;0,37;0,52;0,5;0,15;0,55;0,67;0,001;0,62;0,25;0,999;0,001;0,001
"sub00298";0,74;0,52;0,03;0,73;0,999;0,96;0,999;0,999;0,999;0,79;0,001;0,46;0,09;0,17;0,63;0,001;0,001
"sub00786";0,5;0,001;0,001;0,72;0,37;0,63;0,77;0,8;0,65;0,37;0,26;0,48;0,01;0,13;0,93;0,24;0,77
"sub00253";0,999;0,25;0,52;0,76;0,47;0,62;0,999;0,98;0,83;0,84;0,57;0,65;0,68;0,62;0,97;0,92;0,82
"sub00350";0,66;0,19;0,7;0,78;0,76;0,53;0,49;0,52;0,82;0,53;0,24;0,68;0,3;0,72;0,8;0,89;0,55
"sub01040";0,79;0,94;0,63;0,98;0,86;0,999;0,999;0,999;0,999;0,999;0,52;0,98;0,89;0,82;0,97;0,999;0,999
"sub00418";0,18;0,63;0,82;0,69;0,26;0,57;0,57;0,75;0,94;0,82;0,01;0,54;0,51;0,71;0,95;0,999;0,98
"sub01141";0,63;0,35;0,5;0,8;0,85;0,65;0,89;0,69;0,6;0,999;0,001;0,14;0,03;0,54;0,18;0,19;0,12
"sub01431";0,999;0,79;0,34;0,48;0,51;0,57;0,999;0,999;0,96;0,96;0,97;0,38;0,67;0,5;0,75;0,15;0,49
"sub00326";0,39;0,001;0,08;0,06;0,41;0,7;0,9;0,65;0,62;0,59;0,06;0,001;0,001;0,09;0,999;0,21;0,64
"sub00683";0,47;0,23;0,35;0,84;0,81;0,71;0,73;0,54;0,88;0,68;0,47;0,66;0,64;0,68;0,65;0,82;0,82
"sub00850";0,6;0,31;0,69;0,32;0,68;0,73;0,999;0,76;0,75;0,38;0,17;0,44;0,07;0,24;0,91;0,82;0,43
"sub01207";0,26;0,95;0,82;0,6;0,38;0,56;0,41;0,41;0,97;0,68;0,001;0,43;0,42;0,37;0,999;0,999;0,999
"sub01324";0,59;0,05;0,001;0,69;0,1;0,12;0,59;0,83;0,11;0,51;0,001;0,001;0,001;0,001;0,69;0,001;0,001
"sub00276";0,39;0,61;0,65;0,67;0,59;0,64;0,79;0,96;0,38;0,67;0,32;0,59;0,35;0,44;0,97;0,57;0,61
"sub01462";0,25;0,51;0,72;0,7;0,19;0,49;0,63;0,65;0,18;0,73;0,14;0,85;0,58;0,89;0,82;0,97;0,999
"sub01503";0,1;0,19;0,19;0,5;0,05;0,05;0,12;0,29;0,24;0,06;0,04;0,02;0,05;0,03;0,05;0,03;0,04
"sub00892";0,9;0,23;0,44;0,72;0,76;0,82;0,98;0,97;0,89;0,89;0,7;0,8;0,26;0,82;0,78;0,88;0,88
"sub00675";0,28;0,5;0,999;0,999;0,5;0,51;0,84;0,82;0,18;0,51;0,999;0,82;0,001;0,001;0,001;0,999;0,999
"sub00409";0,49;0,999;0,1;0,82;0,5;0,76;0,999;0,999;0,75;0,77;0,001;0,71;0,88;0,12;0,999;0,999;0,999
"sub01235";0,59;0,74;0,51;0,74;0,999;0,58;0,69;0,84;0,999;0,92;0,37;0,21;0,37;0,29;0,65;0,79;0,999
"sub00535";0,8;0,68;0,55;0,48;0,77;0,79;0,999;0,67;0,87;0,79;0,07;0,1;0,1;0,04;0,07;0,17;0,11
"sub00996";0,999;0,77;0,5;0,67;0,59;0,53;0,81;0,89;0,69;0,62;0,05;0,81;0,06;0,09;0,65;0,65;0,64
"sub01473";0,17;0,48;0,11;0,66;0,23;0,16;0,17;0,32;0,51;0,2;0,16;0,02;0,999;0,001;0,999;0,22;0,21
"sub00095";0,82;0,26;0,001;0,25;0,9;0,82;0,86;0,84;0,999;0,42;0,01;0,08;0,001;0,001;0,74;0,001;0,001
"sub01536";0,75;0,4;0,03;0,34;0,71;0,78;0,82;0,9;0,92;0,66;0,27;0,61;0,63;0,67;0,63;0,91;0,9
"sub00260";0,67;0,18;0,17;0,64;0,87;0,72;0,93;0,83;0,6;0,76;0,09;0,68;0,23;0,2;0,87;0,08;0,87
"sub01391";0,43;0,22;0,78;0,8;0,79;0,68;0,71;0,67;0,85;0,84;0,09;0,48;0,59;0,79;0,79;0,79;0,86
"sub00216";0,21;0,2;0,999;0,57;0,31;0,25;0,34;0,48;0,69;0,4;0,39;0,001;0,001;0,001;0,001;0,001;0,001
"sub00959";0,54;0,71;0,13;0,89;0,48;0,71;0,77;0,91;0,55;0,58;0,22;0,11;0,73;0,39;0,85;0,06;0,05
"sub01560";0,43;0,15;0,58;0,56;0,66;0,5;0,35;0,18;0,83;0,48;0,23;0,09;0,62;0,2;0,71;0,5;0,65
"sub01122";0,11;0,49;0,07;0,42;0,73;0,75;0,81;0,64;0,31;0,64;0,05;0,86;0,71;0,92;0,999;0,85;0,93
"sub01102";0,55;0,55;0,24;0,57;0,73;0,77;0,82;0,66;0,72;0,62;0,12;0,67;0,87;0,999;0,999;0,999;0,999
"sub01116";0,59;0,24;0,54;0,59;0,9;0,59;0,64;0,65;0,57;0,37;0,001;0,61;0,25;0,27;0,83;0,85;0,84
"sub00410";0,51;0,65;0,07;0,11;0,77;0,49;0,29;0,31;0,999;0,49;0,001;0,24;0,23;0,25;0,8;0,75;0,47
"sub01468";0,001;0,14;0,66;0,999;0,19;0,16;0,88;0,44;0,2;0,49;0,09;0,04;0,001;0,001;0,001;0,001;0,001
"sub01496";0,001;0,27;0,04;0,12;0,43;0,57;0,88;0,93;0,001;0,67;0,14;0,001;0,5;0,38;0,73;0,51;0,11
"sub01094";0,36;0,38;0,33;0,34;0,61;0,62;0,63;0,61;0,64;0,38;0,41;0,3;0,48;0,27;0,51;0,29;0,03
"sub00202";0,3;0,49;0,48;0,68;0,66;0,8;0,999;0,999;0,65;0,5;0,47;0,23;0,31;0,69;0,58;0,86;0,68
"sub01343";0,79;0,79;0,64;0,9;0,999;0,61;0,49;0,37;0,21;0,69;0,001;0,3;0,75;0,51;0,76;0,001;0,001
"sub00191";0,58;0,55;0,12;0,58;0,78;0,62;0,97;0,87;0,85;0,91;0,02;0,3;0,47;0,28;0,64;0,6;0,65
"sub00763";0,34;0,68;0,79;0,75;0,32;0,36;0,8;0,82;0,96;0,75;0,23;0,06;0,38;0,57;0,96;0,38;0,76
"sub00445";0,58;0,74;0,84;0,8;0,88;0,7;0,999;0,999;0,75;0,75;0,32;0,67;0,43;0,4;0,8;0,78;0,78
"sub01150";0,62;0,42;0,74;0,8;0,81;0,56;0,74;0,69;0,96;0,72;0,19;0,66;0,26;0,55;0,89;0,89;0,85
"sub01567";0,14;0,48;0,48;0,63;0,49;0,46;0,89;0,77;0,46;0,69;0,55;0,87;0,73;0,93;0,94;0,999;0,91
"sub00702";0,999;0,5;0,8;0,83;0,79;0,73;0,999;0,999;0,001;0,69;0,001;0,999;0,32;0,999;0,999;0,999;0,999
"sub00385";0,47;0,26;0,1;0,22;0,66;0,5;0,71;0,71;0,59;0,15;0,63;0,38;0,1;0,67;0,83;0,87;0,8
"sub00346";0,44;0,4;0,44;0,56;0,51;0,7;0,999;0,84;0,57;0,51;0,999;0,55;0,11;0,13;0,999;0,75;0,78
"sub01085";0,38;0,68;0,9;0,67;0,65;0,68;0,88;0,64;0,8;0,83;0,82;0,59;0,49;0,68;0,96;0,64;0,84
"sub00441";0,67;0,17;0,02;0,38;0,78;0,57;0,73;0,71;0,7;0,21;0,18;0,63;0,12;0,51;0,77;0,72;0,81
"sub00793";0,92;0,66;0,8;0,98;0,999;0,68;0,96;0,81;0,51;0,77;0,001;0,11;0,26;0,82;0,59;0,49;0,999
"sub01244";0,05;0,11;0,62;0,77;0,001;0,05;0,37;0,06;0,79;0,47;0,31;0,32;0,08;0,05;0,22;0,5;0,52
"sub00084";0,65;0,51;0,999;0,92;0,25;0,66;0,5;0,61;0,6;0,73;0,95;0,94;0,03;0,08;0,87;0,83;0,76
"sub01260";0,15;0,22;0,13;0,58;0,65;0,27;0,51;0,31;0,94;0,83;0,13;0,06;0,001;0,55;0,07;0,11;0,06
"sub00587";0,43;0,8;0,001;0,79;0,27;0,47;0,71;0,93;0,999;0,64;0,21;0,12;0,66;0,61;0,999;0,001;0,001
"sub00843";0,5;0,58;0,22;0,58;0,5;0,63;0,999;0,999;0,999;0,98;0,12;0,07;0,999;0,7;0,84;0,03;0,01
"sub00774";0,55;0,24;0,49;0,71;0,65;0,66;0,7;0,57;0,58;0,43;0,26;0,28;0,79;0,49;0,75;0,82;0,3
"sub00856";0,49;0,56;0,96;0,69;0,8;0,77;0,84;0,87;0,91;0,89;0,48;0,53;0,64;0,14;0,9;0,96;0,95
"sub01202";0,66;0,7;0,11;0,69;0,73;0,68;0,75;0,75;0,91;0,71;0,06;0,64;0,27;0,82;0,89;0,95;0,999
"sub01486";0,1;0,47;0,79;0,7;0,41;0,2;0,24;0,13;0,89;0,23;0,11;0,76;0,85;0,93;0,91;0,999;0,999
"sub01349";0,1;0,46;0,23;0,57;0,27;0,22;0,69;0,29;0,78;0,66;0,17;0,45;0,74;0,7;0,71;0,71;0,34
"sub00672";0,69;0,72;0,39;0,72;0,82;0,68;0,93;0,95;0,77;0,66;0,46;0,8;0,8;0,79;0,85;0,94;0,97
"sub00005";0,001;0,81;0,76;0,86;0,999;0,999;0,38;0,31;0,13;0,82;0,11;0,999;0,999;0,999;0,999;0,999;0,999
"sub01308";0,29;0,31;0,33;0,68;0,62;0,5;0,89;0,64;0,89;0,85;0,14;0,83;0,21;0,82;0,999;0,999;0,999
"sub00112";0,001;0,001;0,31;0,88;0,74;0,81;0,62;0,36;0,71;0,68;0,63;0,11;0,05;0,5;0,57;0,14;0,14
"sub01358";0,48;0,3;0,38;0,5;0,68;0,8;0,78;0,91;0,999;0,6;0,29;0,18;0,001;0,001;0,999;0,25;0,74
"sub00331";0,78;0,001;0,999;0,999;0,001;0,999;0,999;0,999;0,999;0,66;0,001;0,001;0,001;0,001;0,999;0,999;0,999
"sub00419";0,55;0,29;0,999;0,59;0,79;0,57;0,48;0,65;0,999;0,38;0,5;0,2;0,001;0,5;0,999;0,19;0,001
"sub01425";0,46;0,64;0,76;0,999;0,61;0,31;0,61;0,47;0,001;0,81;0,001;0,001;0,66;0,73;0,999;0,999;0,999
"sub00595";0,17;0,69;0,999;0,999;0,65;0,61;0,999;0,82;0,79;0,43;0,63;0,83;0,09;0,78;0,6;0,999;0,999
"sub01188";0,69;0,15;0,06;0,54;0,8;0,88;0,999;0,999;0,999;0,21;0,001;0,3;0,001;0,38;0,71;0,87;0,51
"sub00335";0,73;0,3;0,38;0,33;0,71;0,69;0,86;0,999;0,91;0,63;0,19;0,14;0,65;0,63;0,73;0,52;0,68
"sub00299";0,7;0,38;0,05;0,85;0,78;0,65;0,54;0,75;0,74;0,84;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub00804";0,91;0,56;0,17;0,72;0,98;0,8;0,74;0,74;0,8;0,93;0,001;0,999;0,999;0,999;0,999;0,999;0,999
"sub01549";0,65;0,65;0,33;0,999;0,92;0,29;0,49;0,25;0,43;0,85;0,72;0,6;0,85;0,57;0,999;0,999;0,92
"sub01522";0,57;0,21;0,23;0,39;0,81;0,69;0,89;0,78;0,97;0,68;0,1;0,08;0,58;0,87;0,999;0,001;0,8
"sub01350";0,38;0,5;0,12;0,82;0,65;0,4;0,47;0,73;0,93;0,6;0,18;0,62;0,58;0,23;0,83;0,33;0,71
"sub00225";0,68;0,2;0,57;0,64;0,65;0,63;0,58;0,93;0,57;0,73;0,001;0,54;0,69;0,68;0,92;0,41;0,52
"sub00503";0,18;0,23;0,28;0,53;0,29;0,5;0,47;0,6;0,25;0,63;0,001;0,18;0,23;0,21;0,999;0,61;0,66
"sub01028";0,09;0,71;0,999;0,9;0,34;0,56;0,94;0,52;0,7;0,83;0,01;0,61;0,35;0,32;0,95;0,51;0,84
"sub01078";0,05;0,81;0,999;0,34;0,09;0,15;0,999;0,999;0,85;0,81;0,001;0,001;0,49;0,001;0,999;0,001;0,001
"sub00571";0,49;0,16;0,001;0,1;0,47;0,49;0,58;0,51;0,29;0,47;0,001;0,91;0,75;0,999;0,999;0,999;0,999
"sub00649";0,88;0,88;0,49;0,48;0,85;0,59;0,85;0,94;0,52;0,51;0,29;0,87;0,62;0,46;0,87;0,76;0,59
"sub00300";0,17;0,35;0,16;0,29;0,48;0,63;0,9;0,87;0,81;0,41;0,06;0,19;0,18;0,1;0,23;0,16;0,21
"sub01026";0,19;0,64;0,3;0,78;0,29;0,31;0,85;0,16;0,65;0,62;0,35;0,41;0,66;0,67;0,68;0,77;0,68
"sub01246";0,55;0,17;0,63;0,82;0,72;0,44;0,57;0,81;0,58;0,999;0,63;0,19;0,5;0,78;0,9;0,77;0,001
"sub00869";0,41;0,61;0,71;0,65;0,37;0,38;0,38;0,39;0,59;0,67;0,3;0,68;0,48;0,33;0,8;0,49;0,5
"sub00693";0,25;0,999;0,999;0,999;0,18;0,999;0,999;0,999;0,3;0,999;0,15;0,001;0,16;0,01;0,999;0,999;0,999
